Name,Age,Overall,Club,Position,Crossing,ShortPassing,Dribbling,LongPassing,BallControl,Acceleration,SprintSpeed,ShotPower,Stamina,Strength,LongShots,Interceptions,Positioning,Penalties,StandingTackle,SlidingTackle,Best Overall Rating,DefensiveAwareness
Moon Seon Min,29,71,Jeonbuk Hyundai Motors,RW,59.0,67.0,74.0,61.0,64.0,91.0,93.0,58.0,77.0,61.0,61.0,37.0,70.0,52.0,41.0,38.0,71.0,31.0
G. Cox,23,70,Fortuna Sittard,LB,68.0,67.0,65.0,50.0,67.0,73.0,76.0,72.0,81.0,62.0,65.0,70.0,56.0,41.0,65.0,64.0,71.0,64.0
21 Song Jin Hyung,32,62,FC Seoul,SUB,65.0,65.0,64.0,63.0,63.0,72.0,75.0,63.0,54.0,51.0,59.0,52.0,63.0,67.0,59.0,63.0,65.0,55.0
I. Tajouri-Shradi,27,72,New York City FC,RM,65.0,66.0,73.0,57.0,74.0,86.0,78.0,75.0,68.0,60.0,70.0,26.0,69.0,57.0,32.0,32.0,72.0,34.0
H. Anderson,24,64,Bristol Rovers,LWB,58.0,60.0,63.0,57.0,61.0,86.0,90.0,56.0,87.0,75.0,57.0,35.0,61.0,59.0,49.0,45.0,67.0,52.0
S. Goss,25,65,Motherwell,RES,58.0,69.0,63.0,68.0,67.0,66.0,64.0,64.0,66.0,76.0,59.0,59.0,63.0,54.0,60.0,57.0,67.0,60.0
N. Fujita,34,69,Cerezo Osaka,SUB,64.0,73.0,68.0,69.0,73.0,51.0,53.0,65.0,84.0,69.0,60.0,70.0,51.0,48.0,64.0,57.0,69.0,69.0
J. Mills,31,65,Northampton Town,SUB,65.0,58.0,61.0,58.0,60.0,72.0,70.0,57.0,73.0,70.0,52.0,60.0,58.0,56.0,61.0,60.0,65.0,60.0
L. De Bock,28,66,SV Zulte Waregem,LCB,68.0,61.0,62.0,57.0,60.0,65.0,67.0,69.0,74.0,70.0,43.0,62.0,58.0,63.0,67.0,64.0,66.0,60.0
R. Yates,23,70,Nottingham Forest,LDM,47.0,67.0,62.0,65.0,67.0,62.0,69.0,61.0,85.0,77.0,53.0,67.0,58.0,55.0,67.0,66.0,72.0,68.0
D. Milošević,26,71,Antalyaspor,SUB,68.0,72.0,74.0,70.0,73.0,67.0,65.0,73.0,74.0,64.0,72.0,45.0,68.0,49.0,41.0,31.0,71.0,40.0
M. Bourabia,29,68,Spezia,RCM,58.0,77.0,72.0,75.0,72.0,59.0,54.0,72.0,66.0,59.0,71.0,58.0,60.0,54.0,67.0,62.0,69.0,63.0
E. Marcondes,26,71,AFC Bournemouth,SUB,64.0,68.0,70.0,65.0,73.0,75.0,73.0,69.0,69.0,58.0,67.0,28.0,69.0,66.0,48.0,32.0,72.0,32.0
V. Figueroa,37,67,Sociedad Deportiva Aucas,RW,54.0,70.0,62.0,65.0,69.0,65.0,62.0,75.0,76.0,44.0,75.0,58.0,64.0,69.0,49.0,38.0,67.0,40.0
Wei Shihao,26,68,Guangzhou FC,LS,64.0,65.0,73.0,58.0,63.0,86.0,82.0,72.0,78.0,57.0,70.0,35.0,59.0,58.0,25.0,32.0,71.0,37.0
O. Banks,28,62,Barrow,RCB,63.0,63.0,55.0,62.0,66.0,54.0,52.0,70.0,82.0,78.0,69.0,56.0,57.0,65.0,57.0,55.0,63.0,56.0
Francisco Geraldes,26,71,Estoril Praia,SUB,68.0,72.0,76.0,69.0,75.0,74.0,72.0,64.0,65.0,46.0,59.0,29.0,67.0,60.0,43.0,42.0,73.0,52.0
I. Chebake,31,71,APOEL Nicosia FC,RB,62.0,62.0,70.0,60.0,65.0,68.0,72.0,57.0,82.0,64.0,49.0,68.0,58.0,57.0,72.0,70.0,71.0,68.0
A. Mulet,21,67,Vélez Sarsfield,SUB,56.0,74.0,67.0,73.0,73.0,72.0,70.0,59.0,81.0,66.0,52.0,52.0,48.0,43.0,68.0,69.0,69.0,54.0
Curro Sánchez,25,72,Unión Deportiva Almería,RCM,70.0,68.0,73.0,67.0,71.0,78.0,75.0,69.0,67.0,47.0,75.0,44.0,69.0,70.0,46.0,37.0,74.0,36.0
C. Cisneros,27,70,Club Deportivo Guadalajara,SUB,71.0,65.0,72.0,58.0,70.0,78.0,68.0,71.0,69.0,65.0,69.0,42.0,69.0,58.0,40.0,37.0,70.0,56.0
19 Cotán,22,69,Gimnàstic de Tarragona,SUB,54.0,70.0,68.0,68.0,71.0,64.0,60.0,65.0,67.0,40.0,68.0,69.0,63.0,65.0,70.0,69.0,68.0,
Saúl,26,71,Deportivo Alavés,SUB,73.0,70.0,67.0,72.0,73.0,70.0,68.0,66.0,61.0,69.0,65.0,68.0,49.0,43.0,69.0,70.0,71.0,67.0
G. Sandoval,25,68,Mazatlán Futbol Club,SUB,72.0,67.0,70.0,61.0,66.0,73.0,73.0,65.0,65.0,51.0,59.0,55.0,61.0,59.0,53.0,53.0,69.0,56.0
E. Käck,31,68,Djurgårdens IF,LB,67.0,63.0,61.0,55.0,63.0,83.0,79.0,65.0,84.0,57.0,57.0,63.0,59.0,39.0,61.0,62.0,68.0,60.0
A. Donkor,23,65,SV Waldhof Mannheim 07,SUB,65.0,62.0,66.0,51.0,65.0,80.0,84.0,70.0,81.0,84.0,57.0,51.0,57.0,50.0,59.0,55.0,67.0,58.0
E. Hyndman,25,67,Atlanta United,SUB,62.0,72.0,70.0,70.0,70.0,66.0,59.0,60.0,72.0,47.0,51.0,55.0,67.0,55.0,62.0,59.0,69.0,58.0
D. Zhivoglyadov,27,72,FC Lokomotiv Moscow,SUB,69.0,65.0,68.0,54.0,68.0,77.0,75.0,69.0,69.0,66.0,51.0,73.0,53.0,31.0,69.0,70.0,72.0,70.0
F. Bjørkan,22,72,FK Bodø/Glimt,LB,64.0,66.0,68.0,59.0,64.0,83.0,83.0,45.0,90.0,67.0,47.0,68.0,61.0,42.0,69.0,67.0,73.0,69.0
A. Ionov,32,73,,SUB,73.0,73.0,72.0,64.0,73.0,79.0,78.0,68.0,75.0,51.0,64.0,35.0,71.0,66.0,20.0,24.0,73.0,44.0
J. Sand,40,75,Club Atlético Lanús,LS,53.0,69.0,67.0,46.0,75.0,49.0,53.0,77.0,41.0,83.0,73.0,33.0,83.0,85.0,21.0,25.0,75.0,45.0
M. Ducksch,27,73,SV Werder Bremen,ST,66.0,70.0,64.0,42.0,72.0,72.0,69.0,74.0,72.0,73.0,70.0,29.0,75.0,70.0,35.0,22.0,73.0,27.0
D. Accam,30,67,Hammarby IF,SUB,62.0,64.0,70.0,43.0,67.0,86.0,84.0,75.0,60.0,61.0,63.0,47.0,62.0,64.0,50.0,46.0,68.0,36.0
G. Comas,23,65,Unión de Santa Fe,SUB,52.0,70.0,70.0,62.0,67.0,70.0,73.0,70.0,65.0,48.0,58.0,59.0,66.0,48.0,60.0,58.0,68.0,49.0
H. Wingo,25,68,Ferencvárosi TC,SUB,64.0,59.0,62.0,57.0,66.0,88.0,75.0,71.0,77.0,70.0,49.0,66.0,51.0,49.0,64.0,62.0,68.0,62.0
Q. Timber,20,67,FC Utrecht,SUB,56.0,72.0,72.0,68.0,74.0,76.0,79.0,66.0,74.0,76.0,48.0,59.0,60.0,45.0,60.0,58.0,70.0,56.0
E. Andersson,25,67,Mjällby AIF,SUB,68.0,70.0,68.0,69.0,69.0,63.0,65.0,65.0,64.0,60.0,64.0,60.0,62.0,50.0,59.0,56.0,69.0,57.0
A. Sâyoud,30,73,Al Tai,CAM,74.0,76.0,77.0,70.0,75.0,74.0,73.0,69.0,66.0,58.0,72.0,27.0,66.0,64.0,27.0,28.0,73.0,33.0
R. Maulun,24,67,SC Cambuur,LCM,64.0,70.0,70.0,69.0,71.0,66.0,64.0,63.0,72.0,44.0,57.0,50.0,61.0,65.0,57.0,50.0,69.0,64.0
J. Murphy,31,67,Hibernian,LM,66.0,64.0,70.0,57.0,67.0,66.0,69.0,66.0,68.0,58.0,63.0,52.0,67.0,67.0,45.0,38.0,67.0,53.0
C. Jenkinson,29,68,Nottingham Forest,RES,66.0,64.0,65.0,64.0,66.0,67.0,69.0,68.0,54.0,69.0,41.0,66.0,64.0,49.0,70.0,69.0,68.0,68.0
Joselu,31,77,Deportivo Alavés,LS,58.0,78.0,75.0,58.0,78.0,56.0,54.0,78.0,63.0,76.0,73.0,25.0,80.0,74.0,27.0,20.0,77.0,23.0
L. Sercombe,31,65,Cheltenham Town,RCM,55.0,67.0,65.0,65.0,63.0,62.0,68.0,67.0,81.0,61.0,60.0,57.0,63.0,62.0,55.0,53.0,65.0,55.0
17 P. Odemwingie,34,69,Rotherham United,SUB,65.0,69.0,73.0,58.0,72.0,69.0,68.0,74.0,52.0,69.0,72.0,33.0,67.0,60.0,31.0,20.0,70.0,
15 D. Cissé,32,72,SC Bastia,SUB,65.0,69.0,66.0,40.0,69.0,77.0,79.0,74.0,66.0,75.0,65.0,32.0,72.0,75.0,23.0,25.0,71.0,
N. Fernández,25,71,San Lorenzo de Almagro,LW,60.0,64.0,74.0,50.0,70.0,89.0,82.0,66.0,75.0,47.0,67.0,29.0,74.0,67.0,27.0,25.0,73.0,25.0
R. Berić,30,72,Chicago Fire Football Club,LS,52.0,68.0,65.0,65.0,70.0,60.0,55.0,73.0,70.0,80.0,67.0,38.0,77.0,71.0,30.0,23.0,72.0,38.0
S. Al Najai,24,67,Al Nassr,RM,59.0,70.0,68.0,62.0,73.0,81.0,73.0,61.0,75.0,64.0,59.0,55.0,73.0,50.0,62.0,56.0,71.0,52.0
R. Funes Mori,30,74,Al Nassr,LCB,66.0,70.0,63.0,62.0,70.0,55.0,58.0,70.0,67.0,75.0,56.0,75.0,49.0,52.0,75.0,74.0,74.0,73.0
A. Mozo,24,74,Club Universidad Nacional,RB,70.0,70.0,68.0,61.0,69.0,82.0,80.0,55.0,87.0,74.0,34.0,67.0,53.0,47.0,72.0,70.0,74.0,70.0
T. Makino,34,69,Urawa Red Diamonds,SUB,49.0,70.0,63.0,67.0,65.0,64.0,62.0,72.0,80.0,77.0,43.0,67.0,59.0,63.0,68.0,66.0,69.0,70.0
20 J. Biabiany,31,70,Trapani,SUB,70.0,68.0,74.0,54.0,73.0,92.0,89.0,73.0,61.0,62.0,57.0,30.0,68.0,65.0,37.0,37.0,72.0,29.0
M. Formica,33,69,Club Atlético Colón,SUB,66.0,66.0,75.0,70.0,72.0,72.0,68.0,72.0,47.0,56.0,71.0,32.0,66.0,67.0,34.0,39.0,69.0,43.0
R. Benzar,29,67,Lecce,RES,62.0,62.0,59.0,59.0,59.0,75.0,72.0,57.0,64.0,67.0,54.0,66.0,61.0,63.0,67.0,64.0,67.0,66.0
K. Barbarouses,31,69,Sydney FC,RAM,62.0,67.0,71.0,46.0,69.0,84.0,85.0,69.0,92.0,67.0,67.0,38.0,73.0,57.0,29.0,22.0,72.0,28.0
A. Öztürk,27,71,Galatasaray SK,SUB,56.0,68.0,65.0,66.0,60.0,60.0,54.0,66.0,79.0,85.0,58.0,68.0,56.0,51.0,73.0,67.0,72.0,69.0
H. Vetlesen,21,65,FK Bodø/Glimt,SUB,59.0,66.0,67.0,64.0,66.0,65.0,69.0,57.0,73.0,59.0,57.0,64.0,63.0,54.0,59.0,57.0,67.0,56.0
A. Arslan,27,66,Holstein Kiel,SUB,57.0,72.0,69.0,58.0,70.0,71.0,65.0,64.0,65.0,59.0,65.0,56.0,58.0,67.0,59.0,53.0,68.0,58.0
K. Duncan,23,72,New York Red Bulls,RB,66.0,62.0,70.0,54.0,65.0,90.0,91.0,52.0,78.0,68.0,41.0,71.0,54.0,37.0,70.0,66.0,72.0,68.0
D. Kulikov,23,70,FC Lokomotiv Moscow,LCM,66.0,72.0,65.0,68.0,70.0,68.0,70.0,59.0,58.0,46.0,60.0,71.0,50.0,55.0,72.0,70.0,71.0,72.0
21 C. Sánchez,34,71,Watford,SUB,60.0,72.0,63.0,70.0,72.0,59.0,49.0,72.0,37.0,76.0,68.0,75.0,54.0,62.0,75.0,73.0,72.0,69.0
Lucas Torró,26,74,CA Osasuna,SUB,49.0,77.0,62.0,72.0,74.0,49.0,30.0,73.0,79.0,76.0,70.0,76.0,56.0,57.0,74.0,68.0,75.0,71.0
A. McCann,21,67,Preston North End,SUB,52.0,68.0,67.0,67.0,68.0,69.0,70.0,63.0,86.0,61.0,62.0,65.0,58.0,56.0,68.0,66.0,69.0,64.0
Nilton Varela,20,68,Belenenses SAD,SUB,66.0,64.0,70.0,48.0,68.0,76.0,73.0,57.0,63.0,71.0,50.0,65.0,58.0,56.0,66.0,67.0,68.0,64.0
A. Kutucu,21,69,İstanbul Başakşehir FK,SUB,55.0,64.0,70.0,54.0,67.0,81.0,76.0,78.0,63.0,71.0,64.0,30.0,68.0,58.0,45.0,53.0,71.0,35.0
19 Paulinho,32,71,US Cremonese,SUB,63.0,69.0,69.0,65.0,69.0,65.0,69.0,69.0,63.0,66.0,71.0,18.0,74.0,76.0,26.0,26.0,71.0,
S. Muroya,27,70,Hannover 96,SUB,70.0,66.0,67.0,64.0,66.0,83.0,92.0,68.0,86.0,67.0,60.0,63.0,66.0,37.0,66.0,63.0,71.0,63.0
J. Korb,29,70,Holstein Kiel,SUB,71.0,72.0,70.0,54.0,72.0,74.0,68.0,54.0,60.0,58.0,40.0,68.0,65.0,49.0,70.0,72.0,70.0,66.0
J. Knight,20,68,Derby County,SUB,62.0,71.0,69.0,67.0,69.0,65.0,67.0,65.0,86.0,62.0,57.0,59.0,63.0,46.0,64.0,62.0,70.0,49.0
A. Sobolev,24,75,Spartak Moskva,ST,35.0,72.0,73.0,45.0,72.0,70.0,72.0,80.0,66.0,78.0,69.0,28.0,75.0,74.0,41.0,29.0,77.0,44.0
L. Young,28,62,Wrexham AFC,CM,59.0,63.0,60.0,63.0,63.0,66.0,67.0,60.0,83.0,58.0,63.0,58.0,59.0,62.0,60.0,55.0,63.0,58.0
D. Albu,20,65,FC U Craiova 1948,CDM,64.0,66.0,60.0,65.0,64.0,72.0,71.0,72.0,82.0,71.0,60.0,62.0,52.0,57.0,60.0,59.0,67.0,58.0
20 C. Pizarro,40,74,SV Werder Bremen,SUB,62.0,77.0,76.0,74.0,77.0,35.0,34.0,75.0,34.0,77.0,73.0,31.0,81.0,81.0,33.0,24.0,74.0,35.0
J. Burkardt,20,72,1. FSV Mainz 05,RS,55.0,69.0,81.0,61.0,73.0,78.0,79.0,72.0,74.0,69.0,65.0,35.0,74.0,55.0,33.0,31.0,74.0,36.0
C. Sørensen,28,64,Viborg FF,LB,64.0,60.0,62.0,52.0,62.0,83.0,78.0,68.0,77.0,55.0,62.0,58.0,62.0,48.0,58.0,55.0,64.0,58.0
Joshuando Sá,25,75,Santos,LW,74.0,72.0,63.0,61.0,68.0,70.0,75.0,44.0,72.0,76.0,42.0,74.0,61.0,53.0,76.0,74.0,75.0,75.0
K. Lasagna,28,74,Hellas Verona,SUB,60.0,66.0,74.0,50.0,76.0,85.0,89.0,76.0,66.0,69.0,66.0,30.0,79.0,66.0,20.0,18.0,74.0,26.0
21 M. Amini,27,65,,SUB,53.0,69.0,67.0,64.0,69.0,65.0,60.0,69.0,73.0,67.0,61.0,58.0,64.0,45.0,58.0,52.0,66.0,59.0
B. Samudio,25,72,Deportivo Toluca,SUB,59.0,68.0,75.0,58.0,75.0,74.0,78.0,72.0,86.0,70.0,63.0,39.0,72.0,72.0,30.0,24.0,74.0,37.0
L. Cabrera,30,77,RCD Espanyol de Barcelona,LCB,63.0,63.0,54.0,63.0,60.0,63.0,56.0,67.0,76.0,83.0,40.0,77.0,40.0,50.0,78.0,78.0,77.0,78.0
20 M. Odjer,22,65,Trapani,RES,36.0,62.0,65.0,60.0,64.0,85.0,80.0,75.0,90.0,63.0,66.0,70.0,65.0,40.0,63.0,66.0,68.0,65.0
T. Vlietinck,23,66,Oud-Heverlee Leuven,SUB,71.0,66.0,67.0,59.0,68.0,75.0,79.0,58.0,62.0,59.0,52.0,56.0,64.0,54.0,63.0,57.0,69.0,62.0
F. Ayité,32,69,Valenciennes FC,RW,64.0,67.0,69.0,62.0,71.0,79.0,84.0,73.0,68.0,70.0,67.0,22.0,62.0,60.0,31.0,22.0,69.0,45.0
20 D. Sturridge,29,77,Trabzonspor,RM,62.0,72.0,76.0,62.0,78.0,71.0,74.0,82.0,52.0,61.0,76.0,22.0,79.0,75.0,24.0,12.0,77.0,11.0
Bigas,30,72,Elche CF,SUB,68.0,72.0,55.0,60.0,66.0,66.0,66.0,62.0,66.0,73.0,47.0,72.0,61.0,48.0,73.0,68.0,72.0,74.0
J. Rodríguez,25,73,Club León,SUB,55.0,77.0,59.0,74.0,76.0,68.0,68.0,58.0,75.0,42.0,48.0,71.0,55.0,53.0,75.0,72.0,74.0,76.0
B. Stevenson,24,64,Forest Green Rovers,RCM,60.0,66.0,63.0,64.0,64.0,74.0,68.0,64.0,76.0,62.0,62.0,58.0,58.0,54.0,61.0,57.0,66.0,59.0
T. Rowe,32,67,Doncaster Rovers,LB,67.0,63.0,66.0,63.0,62.0,67.0,68.0,61.0,77.0,66.0,52.0,66.0,66.0,53.0,65.0,64.0,67.0,64.0
S. Nilsen,29,69,SK Brann,CDM,55.0,68.0,61.0,66.0,65.0,54.0,59.0,60.0,79.0,77.0,50.0,67.0,47.0,52.0,64.0,60.0,69.0,71.0
A. Tanaka,33,65,HJK Helsinki,SUB,60.0,64.0,64.0,60.0,65.0,72.0,72.0,64.0,73.0,56.0,60.0,52.0,68.0,46.0,58.0,54.0,65.0,55.0
G. Holtmann,26,72,VfL Bochum 1848,LM,68.0,66.0,72.0,62.0,70.0,93.0,95.0,75.0,69.0,66.0,64.0,58.0,66.0,60.0,59.0,50.0,72.0,60.0
S. Hedlund,28,71,Brøndby IF,RS,65.0,69.0,70.0,52.0,72.0,88.0,90.0,66.0,85.0,54.0,62.0,25.0,71.0,47.0,21.0,24.0,72.0,29.0
R. Benson,29,64,St. Patrick's Athletic,CAM,64.0,67.0,62.0,63.0,67.0,65.0,65.0,65.0,70.0,73.0,64.0,58.0,57.0,58.0,58.0,52.0,64.0,60.0
P. Hatzidiakos,24,71,AZ Alkmaar,RCB,56.0,76.0,58.0,70.0,68.0,68.0,75.0,75.0,73.0,73.0,56.0,70.0,36.0,40.0,68.0,67.0,73.0,69.0
T. Tissoudali,28,72,KAA Gent,RS,65.0,73.0,76.0,52.0,75.0,77.0,75.0,69.0,77.0,67.0,68.0,20.0,74.0,55.0,21.0,27.0,73.0,26.0
C. Lenz,26,73,Eintracht Frankfurt,LB,69.0,73.0,67.0,62.0,71.0,68.0,74.0,55.0,70.0,68.0,45.0,73.0,49.0,35.0,75.0,70.0,73.0,74.0
M. Konradsen,25,64,FK Bodø/Glimt,SUB,62.0,66.0,66.0,63.0,66.0,75.0,65.0,62.0,78.0,58.0,63.0,61.0,59.0,48.0,59.0,56.0,67.0,58.0
J. Bornstein,36,67,Chicago Fire Football Club,SUB,66.0,65.0,65.0,56.0,64.0,67.0,50.0,65.0,64.0,67.0,58.0,64.0,51.0,61.0,67.0,66.0,67.0,72.0
21 F. González,33,69,Estudiantes de La Plata,SUB,66.0,69.0,73.0,62.0,71.0,69.0,69.0,70.0,74.0,78.0,67.0,46.0,71.0,66.0,36.0,30.0,69.0,31.0
O. Brynhildsen,22,68,Molde FK,LM,58.0,60.0,71.0,55.0,68.0,86.0,84.0,60.0,74.0,62.0,59.0,47.0,63.0,57.0,50.0,53.0,69.0,42.0
C. Jean,25,70,Racing Club de Lens,SUB,73.0,70.0,71.0,64.0,73.0,80.0,77.0,72.0,62.0,61.0,69.0,32.0,73.0,64.0,22.0,21.0,73.0,33.0
L. Orellano,21,73,Vélez Sarsfield,RW,65.0,67.0,78.0,55.0,77.0,92.0,89.0,80.0,74.0,56.0,73.0,27.0,66.0,52.0,35.0,39.0,73.0,29.0
21 I. Khalili,33,65,Hammarby IF,SUB,63.0,65.0,66.0,64.0,68.0,68.0,59.0,68.0,53.0,70.0,64.0,43.0,64.0,65.0,42.0,41.0,65.0,49.0
E. Dilaver,30,69,Dinamo Zagreb,SUB,52.0,66.0,57.0,63.0,64.0,70.0,70.0,70.0,76.0,72.0,65.0,68.0,49.0,49.0,71.0,67.0,69.0,65.0
A. Dedić,18,66,RZ Pellets Wolfsberger AC,RB,66.0,66.0,67.0,61.0,65.0,82.0,78.0,67.0,74.0,56.0,57.0,60.0,60.0,44.0,63.0,60.0,68.0,58.0
R. Assalé,27,70,SV Werder Bremen,SUB,65.0,67.0,71.0,57.0,71.0,91.0,88.0,76.0,82.0,42.0,66.0,21.0,74.0,56.0,35.0,26.0,73.0,22.0
Elildo Petri,25,75,Palmeiras,RM,71.0,83.0,80.0,76.0,76.0,73.0,73.0,75.0,61.0,73.0,69.0,28.0,71.0,68.0,25.0,15.0,75.0,32.0
H. Shimoda,29,65,Oita Trinita,LCM,63.0,67.0,59.0,65.0,68.0,82.0,79.0,72.0,88.0,56.0,54.0,60.0,58.0,44.0,59.0,52.0,66.0,49.0
21 Gelson Dala,23,73,Rio Ave FC,ST,61.0,66.0,75.0,41.0,74.0,87.0,85.0,75.0,72.0,60.0,68.0,21.0,73.0,70.0,19.0,21.0,74.0,28.0
R. Schmid,21,70,SV Werder Bremen,LW,69.0,70.0,78.0,60.0,75.0,77.0,74.0,69.0,70.0,61.0,67.0,60.0,66.0,52.0,37.0,37.0,73.0,56.0
A. Bastoni,22,80,Inter,LCB,67.0,72.0,68.0,73.0,72.0,62.0,68.0,49.0,81.0,81.0,25.0,83.0,39.0,47.0,84.0,80.0,82.0,80.0
S. Ohlsson,28,67,FC St. Pauli,SUB,56.0,67.0,64.0,61.0,64.0,71.0,63.0,67.0,75.0,68.0,65.0,60.0,46.0,51.0,73.0,65.0,67.0,68.0
J. Andrada,26,70,Arsenal de Sarandí,SUB,63.0,70.0,63.0,66.0,66.0,54.0,50.0,63.0,75.0,81.0,61.0,72.0,57.0,49.0,70.0,65.0,71.0,59.0
M. Chrapek,29,66,Piast Gliwice,LDM,55.0,70.0,67.0,64.0,69.0,65.0,53.0,59.0,52.0,60.0,65.0,62.0,65.0,59.0,69.0,63.0,66.0,63.0
L. Duarte,24,65,FC Groningen,LDM,67.0,68.0,67.0,60.0,67.0,67.0,63.0,73.0,69.0,67.0,67.0,67.0,60.0,48.0,61.0,57.0,67.0,58.0
S. Yılmaz,31,66,Demir Grup Sivasspor,SUB,60.0,60.0,68.0,59.0,68.0,77.0,76.0,71.0,65.0,70.0,63.0,39.0,65.0,55.0,47.0,29.0,67.0,49.0
C. Mandouki,29,69,Paris FC,RDM,59.0,69.0,64.0,66.0,68.0,52.0,57.0,60.0,77.0,72.0,54.0,72.0,61.0,45.0,66.0,64.0,69.0,63.0
G. Kilota,27,68,Seraing,LM,63.0,65.0,66.0,59.0,69.0,76.0,76.0,62.0,71.0,55.0,52.0,63.0,55.0,59.0,66.0,63.0,68.0,60.0
Y. Karamoh,22,75,Fatih Karagümrük S.K.,RM,67.0,73.0,82.0,65.0,79.0,79.0,77.0,69.0,69.0,60.0,70.0,29.0,75.0,65.0,31.0,26.0,77.0,23.0
A. Matějů,25,70,,SUB,68.0,65.0,67.0,63.0,69.0,76.0,73.0,56.0,73.0,68.0,52.0,66.0,58.0,43.0,68.0,66.0,70.0,69.0
K. N'Doram,25,71,FC Metz,RES,49.0,70.0,69.0,68.0,70.0,64.0,60.0,59.0,80.0,79.0,48.0,67.0,62.0,55.0,71.0,69.0,73.0,70.0
Pedro Henrique,31,71,Demir Grup Sivasspor,RM,67.0,67.0,73.0,62.0,71.0,81.0,79.0,70.0,66.0,58.0,66.0,23.0,70.0,58.0,27.0,32.0,71.0,30.0
20 C. Buonaiuto,26,69,Perugia,SUB,64.0,69.0,70.0,66.0,70.0,76.0,81.0,73.0,73.0,54.0,68.0,30.0,66.0,60.0,40.0,35.0,69.0,55.0
J. Hunt,30,68,Sheffield Wednesday,RB,68.0,64.0,66.0,60.0,64.0,76.0,74.0,68.0,77.0,64.0,50.0,63.0,61.0,48.0,65.0,64.0,68.0,64.0
19 A. Gnoukouri,20,68,Inter,RES,62.0,74.0,66.0,70.0,72.0,63.0,61.0,64.0,63.0,67.0,50.0,66.0,58.0,50.0,72.0,68.0,68.0,
21 T. Lam,26,67,PEC Zwolle,LCB,49.0,67.0,57.0,65.0,67.0,65.0,74.0,74.0,71.0,75.0,56.0,66.0,50.0,64.0,65.0,66.0,69.0,65.0
20 K. Moriya,30,65,Júbilo Iwata,SUB,62.0,69.0,70.0,61.0,71.0,69.0,68.0,66.0,74.0,61.0,67.0,62.0,61.0,54.0,59.0,56.0,66.0,62.0
G. Dobson,23,66,Charlton Athletic,SUB,57.0,66.0,61.0,67.0,63.0,66.0,69.0,65.0,85.0,73.0,52.0,62.0,58.0,51.0,63.0,62.0,67.0,63.0
M. Figueroa,38,68,Houston Dynamo,SUB,62.0,64.0,53.0,63.0,59.0,48.0,42.0,81.0,61.0,77.0,65.0,69.0,42.0,64.0,72.0,68.0,68.0,66.0
21 A. Gerndt,33,68,FC Lugano,SUB,68.0,71.0,69.0,64.0,72.0,74.0,70.0,70.0,71.0,70.0,72.0,30.0,72.0,65.0,35.0,32.0,70.0,27.0
20 A. Danielsen,34,64,Viking FK,SUB,60.0,60.0,53.0,59.0,64.0,64.0,64.0,69.0,77.0,64.0,58.0,66.0,64.0,60.0,57.0,55.0,63.0,64.0
19 E. Izaguirre,32,69,Celtic,SUB,73.0,68.0,69.0,63.0,67.0,64.0,67.0,63.0,83.0,71.0,33.0,64.0,59.0,53.0,68.0,67.0,69.0,
D. Fagundez,26,69,Austin FC,RM,71.0,69.0,75.0,63.0,70.0,75.0,72.0,78.0,69.0,56.0,64.0,30.0,64.0,52.0,49.0,33.0,71.0,35.0
Iván Sánchez,28,73,Birmingham City,SUB,71.0,68.0,74.0,60.0,74.0,92.0,90.0,60.0,82.0,33.0,65.0,17.0,65.0,65.0,22.0,25.0,73.0,57.0
B. Schmitz,26,69,1. FC Köln,RB,66.0,68.0,61.0,53.0,65.0,68.0,53.0,71.0,68.0,71.0,64.0,70.0,63.0,32.0,70.0,68.0,70.0,69.0
E. Rolón,26,68,Boca Juniors,SUB,54.0,69.0,60.0,67.0,66.0,68.0,63.0,70.0,67.0,63.0,59.0,70.0,55.0,53.0,60.0,62.0,69.0,69.0
S. Grippo,32,70,FC Lausanne-Sport,SUB,53.0,66.0,52.0,69.0,60.0,54.0,51.0,81.0,71.0,88.0,64.0,68.0,59.0,50.0,70.0,60.0,70.0,69.0
M. Sulejmani,32,73,BSC Young Boys,SUB,77.0,74.0,72.0,66.0,74.0,75.0,75.0,73.0,47.0,56.0,74.0,26.0,73.0,69.0,36.0,26.0,73.0,27.0
R. Radunović,29,69,FCSB (Steaua),LB,67.0,64.0,56.0,62.0,60.0,75.0,78.0,65.0,81.0,80.0,47.0,65.0,59.0,53.0,66.0,62.0,69.0,66.0
M. Aarons,21,75,Norwich City,RB,68.0,71.0,76.0,61.0,74.0,83.0,79.0,46.0,86.0,67.0,36.0,71.0,67.0,27.0,71.0,69.0,76.0,75.0
21 M. Hamdy,25,73,,RCB,47.0,67.0,62.0,60.0,66.0,67.0,74.0,62.0,69.0,81.0,52.0,74.0,52.0,54.0,71.0,74.0,75.0,71.0
21 R. Mulumba,27,65,La Berrichonne de Châteauroux,LDM,64.0,65.0,68.0,64.0,65.0,55.0,60.0,66.0,80.0,70.0,58.0,61.0,52.0,61.0,62.0,61.0,65.0,61.0
19 K. Miller,38,68,Dundee FC,RS,64.0,65.0,64.0,59.0,64.0,69.0,65.0,70.0,80.0,68.0,69.0,44.0,68.0,62.0,23.0,22.0,67.0,
